"","ID","species","vgp_group","Accession","Secondary_Accession","IUCN","Combined_captivity_flag_primary","Combined_captivity_flag_alternate"
"1","mMonMon","Monodon_monoceros","mammals","GCA_005190385.3","GCA_029941395.3","LC","no","no"
"2","bGeoTri","Geothlypis_trichas","birds","GCA_009764595.1","GCA_009764545.1","LC","no","no"
"3","bTauEry","Tauraco_erythrolophus","birds","GCA_009769465.1","GCA_009764505.1","LC","yes","yes"
"4","bPteGut","Pterocles_gutturalis","birds","GCA_009769525.1","GCA_009769505.1","LC","no","no"
"5","bBucAby","Bucorvus_abyssinicus","birds","GCA_009769605.1","GCA_009769595.1","VU","yes","yes"
"6","bMerNub","Merops_nubicus","birds","GCA_009819595.1","GCA_009819585.1","LC","yes","yes"
"7","bSteHir","Sterna_hirundo","birds","GCA_009819605.1","GCA_009819645.1","LC","no","no"
"8","bPhoRub","Phoenicopterus_ruber","birds","GCA_009819775.1","GCA_009819805.1","LC","yes","yes"
"9","bCarCri","Cariama_cristata","birds","GCA_009819825.1","GCA_009819485.1","LC","yes","yes"
"10","bBalReg","Balearica_regulorum","birds","GCA_011004875.1","GCA_011004865.1","EN","yes","yes"
"11","fAntMac","Antennarius_maculatus","fishes","GCA_013358685.1","GCA_013347815.1","LC","likely","likely"
"12","bLycPyr","Lycocorax_pyrrhopterus","birds","GCA_014706295.1","GCA_014706015.1",NA,NA,NA
"13","fAnaAna","Anableps_anableps","fishes","GCA_014839685.1","GCA_014839705.1","LC","yes","yes"
"14","bSylBor","Sylvia_borin","birds","GCA_014839755.1","GCA_014839765.1","LC","no","no"
"15","fXenCan","Xenentodon_cancila","fishes","GCA_014839995.1","GCA_014839645.1","LC","likely","likely"
"16","bAcaChl","Acanthisitta_chloris","birds","GCA_016904835.1","GCA_016880875.1","LC","no","no"
"17","bPluApr","Pluvialis_apricaria","birds","GCA_017639485.1","GCA_017639475.1","LC","no","no"
"18","bCicMag","Ciconia_maguari","birds","GCA_017639555.1","GCA_017639665.1","LC","no","no"
"19","fAplTae","Aplochiton_taeniatus","fishes","GCA_017639675.1","GCA_017639685.1","LC","no","no"
"20","fMicSal","Micropterus_salmoides","fishes","GCA_019677235.1","GCA_036785525.1","LC","yes",NA
"21","fPhoLeu","Pholidichthys_leucotaenia","fishes","GCA_020510985.1","GCA_020510965.1",NA,NA,NA
"22","fTauAds","Tautogolabrus_adspersus","fishes","GCA_020745685.1","GCA_020745675.1","LC","no","no"
"23","bHemCom","Hemiprocne_comata","birds","GCA_020745705.1","GCA_020745695.1","LC","no","no"
"24","bTheCae","Theristicus_caerulescens","birds","GCA_020745775.1","GCA_020745805.1","LC","no","no"
"25","bTroSur","Trogon_surrucura","birds","GCA_020746105.1","GCA_020746095.1","LC","no","no"
"26","bPorHoc","Porphyrio_hochstetteri","birds","GCA_020800305.1","GCA_020801775.1","EN","likely",NA
"27","mDesRot","Desmodus_rotundus","mammals","GCA_022682495.2","GCA_022682395.2","LC","no likely",NA
"28","rAspTig","Aspidoscelis_tigris","reptiles","GCA_023333525.2","GCA_023333555.2","LC","no likely","no likely"
"29","bPhaSup","Phaethornis_superciliosus","birds","GCA_023637945.2","GCA_023637925.2","LC","no","no"
"30","mTamTet","Tamandua_tetradactyla","mammals","GCA_023851605.1","GCA_023853755.1","LC","no","no"
"31","fClaGar","Clarias_gariepinus","fishes","GCA_024256435.1","GCA_024256465.1","LC","likely",NA
"32","rVipLat","Vipera_latastei","reptiles","GCA_024294585.1","GCA_024294605.1","VU","no","no"
"33","mPerMan","Peromyscus_maniculatus","mammals","GCA_026229955.1","GCA_026167925.1","LC","no",NA
"34","mCorTow","Corynorhinus_townsendii","mammals","GCA_026230055.1","GCA_026230045.1","LC","no",NA
"35","aPleWal","Pleurodeles_waltl","amphibians","GCA_026652325.1","GCA_031142525.1","LC","yes",NA
"36","aDisPic","Discoglossus_pictus","amphibians","GCA_027410445.1","GCA_027410455.1",NA,NA,NA
"37","bSphHum","Spheniscus_humboldti","birds","GCA_027474245.1","GCA_027474345.1","VU","likely","likely"
